product_id,product_name,category,sub_category,brand,unit_cost,selling_price,supplier_name,launch_date,product_status
84,Puma Cricket Model-0084,Sports,Cricket,Puma,7115.39,12692.83,Supplier-014,2020-05-24,Active
85,Puma Fragrances Model-0085,Beauty,Fragrances,Puma,47464.25,69709.2,Supplier-047,2022-12-25,Active
86,Apple Football Model-0086,Sports,Football,Apple,42989.55,55528.31,Supplier-033,2021-09-29,Active
87,Whirlpool Accessories Model-0087,Fashion,Accessories,Whirlpool,10369.9,17689.24,Supplier-031,2022-04-30,Active
88,Sony Smartphones Model-0088,Electronics,Smartphones,Sony,36453.3,47049.95,Supplier-007,2024-04-10,Active
89,Nike Washing Machines Model-0089,Home Appliances,Washing Machines,Nike,49877.08,61030.45,Supplier-016,2020-07-10,Discontinued
90,Apple Kitchen Appliances Model-0090,Home Appliances,Kitchen Appliances,Apple,31491.53,36606.09,Supplier-019,2020-02-18,Active
91,LG Smartphones Model-0091,Electronics,Smartphones,LG,29424.99,35131.7,Supplier-032,2025-08-20,Active
92,Samsung Makeup Model-0092,Beauty,Makeup,Samsung,15237.42,20472.41,Supplier-027,2022-08-26,Active
93,Dell Skincare Model-0093,Beauty,Skincare,Dell,13109.58,20754.97,Supplier-041,2025-04-28,Active
94,Samsung Makeup Model-0094,Beauty,Makeup,Samsung,12836.1,17477.85,Supplier-016,2023-08-08,Active
95,Lenovo Accessories Model-0095,Fashion,Accessories,Lenovo,8351.17,10076.89,Supplier-035,2023-05-15,Active
96,NEXUS Fragrances Model-0096,Beauty,Fragrances,NEXUS,2913.99,4198.69,Supplier-050,2020-01-06,Active
97,Puma Laptops Model-0097,Electronics,Laptops,Puma,5482.68,6899.98,Supplier-036,2021-02-06,Active
98,Philips Men Clothing Model-0098,Fashion,Men Clothing,Philips,39332.88,53476.38,Supplier-020,2020-08-20,Active
99,Adidas Household Essentials Model-0099,Grocery,Household Essentials,Adidas,21793.06,32394.39,Supplier-025,2024-02-20,Active
100,Prestige Footwear Model-0100,Fashion,Footwear,Prestige,18953.92,30150.66,Supplier-037,2025-03-27,Discontinued
101,Puma Footwear Model-0101,Fashion,Footwear,Puma,45710.37,74696.66,Supplier-011,2022-10-04,Active
102,Apple Smartphones Model-0102,Electronics,Smartphones,Apple,34915.41,41669.88,Supplier-040,2020-04-17,Active
103,Adidas Smartphones Model-0103,Electronics,Smartphones,Adidas,1378.71,1932.01,Supplier-038,2023-01-12,Active
104,Lenovo Laptops Model-0104,Electronics,Laptops,Lenovo,5550.39,6636.56,Supplier-012,2020-06-21,Active
105,LG Microwaves Model-0105,Home Appliances,Microwaves,LG,9452.74,13824.31,Supplier-009,2023-05-01,Discontinued
106,Philips Accessories Model-0106,Electronics,Accessories,Philips,32738.19,46627.58,Supplier-047,2025-09-28,Active
107,Dell Men Clothing Model-0107,Fashion,Men Clothing,Dell,35790.54,63426.1,Supplier-010,2022-05-01,Active
108,Sony Football Model-0108,Sports,Football,Sony,15837.57,18525.05,Supplier-014,2024-05-17,Active
109,Boat Household Essentials Model-0109,Grocery,Household Essentials,Boat,12777.48,18503.86,Supplier-038,2024-01-13,Active
110,Prestige Cricket Model-0110,Sports,Cricket,Prestige,46502.89,61600.35,Supplier-021,2022-10-08,Active
111,Samsung Footwear Model-0111,Fashion,Footwear,Samsung,15814.68,18562.68,Supplier-019,2022-10-13,Active
112,Sony Headphones Model-0112,Electronics,Headphones,Sony,27425.41,32609.05,Supplier-019,2022-08-21,Active
113,Philips Packaged Food Model-0113,Grocery,Packaged Food,Philips,37863.63,61014.62,Supplier-028,2022-12-13,Active
114,Lenovo Footwear Model-0114,Fashion,Footwear,Lenovo,7794.98,12647.54,Supplier-045,2020-07-23,Active
115,HP Football Model-0115,Sports,Football,HP,9686.04,15951.35,Supplier-022,2025-06-12,Active
116,Adidas Smartphones Model-0116,Electronics,Smartphones,Adidas,47821.78,84644.25,Supplier-034,2020-01-05,Active
117,Adidas Kitchen Appliances Model-0117,Home Appliances,Kitchen Appliances,Adidas,26077.04,34750.87,Supplier-023,2020-01-28,Active
118,Prestige Sportswear Model-0118,Sports,Sportswear,Prestige,30192.55,40481.81,Supplier-031,2020-07-07,Active
119,Puma Accessories Model-0119,Fashion,Accessories,Puma,36301.52,62460.8,Supplier-039,2023-12-21,Active
120,Prestige Haircare Model-0120,Beauty,Haircare,Prestige,15710.83,21190.89,Supplier-034,2022-08-29,Active
121,Boat Laptops Model-0121,Electronics,Laptops,Boat,18183.61,23334.81,Supplier-032,2020-08-04,Active
122,Prestige Women Clothing Model-0122,Fashion,Women Clothing,Prestige,45949.45,61466.27,Supplier-016,2022-04-04,Active
123,Philips Air Conditioners Model-0123,Home Appliances,Air Conditioners,Philips,11323.48,12737.25,Supplier-007,2021-05-19,Active
124,Apple Footwear Model-0124,Fashion,Footwear,Apple,28572.15,32253.1,Supplier-041,2023-03-24,Active
125,Sony Makeup Model-0125,Beauty,Makeup,Sony,45348.1,70030.43,Supplier-014,2020-03-25,Active
126,Prestige Fragrances Model-0126,Beauty,Fragrances,Prestige,46246.31,60903.13,Supplier-008,2024-08-27,Active
127,Lenovo Headphones Model-0127,Electronics,Headphones,Lenovo,16229.66,22960.71,Supplier-013,2020-06-12,Active
128,Sony Footwear Model-0128,Fashion,Footwear,Sony,20871.94,25679.16,Supplier-015,2022-03-01,Active
129,Samsung Sportswear Model-0129,Sports,Sportswear,Samsung,34933.1,55203.8,Supplier-046,2020-07-10,Active
130,Sony Smartphones Model-0130,Electronics,Smartphones,Sony,27180.97,38866.1,Supplier-047,2020-04-16,Active
131,Apple Fragrances Model-0131,Beauty,Fragrances,Apple,47842.23,72766.86,Supplier-034,2021-01-20,Active
132,Philips Football Model-0132,Sports,Football,Philips,38769.05,54936.5,Supplier-001,2024-09-01,Active
133,Prestige Makeup Model-0133,Beauty,Makeup,Prestige,10076.52,12468.39,Supplier-006,2024-11-10,Active
134,Sony Beverages Model-0134,Grocery,Beverages,Sony,44951.2,51523.91,Supplier-012,2025-07-01,Active
135,Samsung Men Clothing Model-0135,Fashion,Men Clothing,Samsung,42252.07,54446.43,Supplier-024,2023-06-02,Active
136,Nike Beverages Model-0136,Grocery,Beverages,Nike,18892.47,29003.08,Supplier-039,2025-11-04,Active
137,Philips Sportswear Model-0137,Sports,Sportswear,Philips,43797.5,55784.74,Supplier-021,2022-05-29,Active
138,Lenovo Microwaves Model-0138,Home Appliances,Microwaves,Lenovo,25910.43,30140.42,Supplier-022,2022-08-08,Active
139,HP Footwear Model-0139,Fashion,Footwear,HP,20719.17,35341.33,Supplier-003,2022-04-17,Active
140,LG Refrigerators Model-0140,Home Appliances,Refrigerators,LG,644.48,1120.74,Supplier-039,2021-07-09,Active
141,NEXUS Household Essentials Model-0141,Grocery,Household Essentials,NEXUS,42273.33,61035.96,Supplier-033,2023-12-24,Active
142,Adidas Footwear Model-0142,Fashion,Footwear,Adidas,2561.04,2987.74,Supplier-035,2021-01-11,Active
143,Prestige Fragrances Model-0143,Beauty,Fragrances,Prestige,43541.1,57065.25,Supplier-025,2024-09-13,Active
144,Puma Women Clothing Model-0144,Fashion,Women Clothing,Puma,24774.33,40469.54,Supplier-001,2022-11-19,Active
145,Samsung Fitness Equipment Model-0145,Sports,Fitness Equipment,Samsung,891.95,1006.29,Supplier-041,2022-01-01,Active
146,HP Makeup Model-0146,Beauty,Makeup,HP,5244.55,9172.39,Supplier-043,2025-05-06,Active
147,Puma Packaged Food Model-0147,Grocery,Packaged Food,Puma,13369.03,18186.11,Supplier-032,2023-10-19,Active
148,Boat Smart Watches Model-0148,Electronics,Smart Watches,Boat,37730.55,66194.71,Supplier-001,2024-01-25,Active
149,Adidas Haircare Model-0149,Beauty,Haircare,Adidas,20563.33,28160.07,Supplier-014,2025-07-27,Active
150,Whirlpool Women Clothing Model-0150,Fashion,Women Clothing,Whirlpool,15438.83,22962.33,Supplier-005,2020-09-04,Active
151,LG Smartphones Model-0151,Electronics,Smartphones,LG,12612.6,14069.72,Supplier-005,2021-06-26,Active
152,Puma Skincare Model-0152,Beauty,Skincare,Puma,48079.44,86230.84,Supplier-009,2024-03-08,Active
153,Philips Accessories Model-0153,Fashion,Accessories,Philips,23670.04,30980.08,Supplier-007,2021-06-13,Active
154,LG Footwear Model-0154,Fashion,Footwear,LG,4763.92,8484.39,Supplier-012,2025-06-14,Active
155,Samsung Sportswear Model-0155,Sports,Sportswear,Samsung,49078.96,75355.28,Supplier-004,2023-03-22,Discontinued
156,Sony Skincare Model-0156,Beauty,Skincare,Sony,21683.91,25532.83,Supplier-005,2024-09-06,Active
157,Dell Men Clothing Model-0157,Fashion,Men Clothing,Dell,7722.23,13213.71,Supplier-045,2025-12-15,Active
158,Prestige Air Conditioners Model-0158,Home Appliances,Air Conditioners,Prestige,29762.46,34543.04,Supplier-023,2023-11-10,Active
159,Whirlpool Haircare Model-0159,Beauty,Haircare,Whirlpool,38274.39,47345.28,Supplier-003,2025-11-05,Active
160,LG Kitchen Appliances Model-0160,Home Appliances,Kitchen Appliances,LG,35247.72,59526.76,Supplier-038,2024-01-15,Active
161,Nike Skincare Model-0161,Beauty,Skincare,Nike,30790.02,47382.51,Supplier-015,2023-02-11,Active
162,Prestige Accessories Model-0162,Fashion,Accessories,Prestige,10555.94,16480.13,Supplier-025,2022-12-04,Active
163,Whirlpool Household Essentials Model-0163,Grocery,Household Essentials,Whirlpool,16978.79,20117.54,Supplier-007,2020-12-06,Active
164,Whirlpool Women Clothing Model-0164,Fashion,Women Clothing,Whirlpool,8353.88,9622.11,Supplier-041,2025-12-15,Active
165,Philips Packaged Food Model-0165,Grocery,Packaged Food,Philips,26673.89,32402.49,Supplier-028,2025-11-27,Active
166,Dell Accessories Model-0166,Electronics,Accessories,Dell,27677.67,33798.55,Supplier-010,2022-08-29,Active
167,Sony Smartphones Model-0167,Electronics,Smartphones,Sony,32864.05,43711.63,Supplier-011,2021-12-08,Active
168,Adidas Footwear Model-0168,Fashion,Footwear,Adidas,22534.45,28085.21,Supplier-031,2024-07-05,Active
169,Whirlpool Smartphones Model-0169,Electronics,Smartphones,Whirlpool,41674.34,48368.89,Supplier-049,2022-05-28,Active
170,NEXUS Accessories Model-0170,Fashion,Accessories,NEXUS,42490.76,52332.24,Supplier-033,2021-02-09,Active
171,Sony Women Clothing Model-0171,Fashion,Women Clothing,Sony,22003.02,30953.01,Supplier-018,2023-11-07,Active
172,Boat Men Clothing Model-0172,Fashion,Men Clothing,Boat,38008.06,47976.13,Supplier-042,2022-03-04,Active
173,Lenovo Makeup Model-0173,Beauty,Makeup,Lenovo,49210.78,83103.03,Supplier-030,2024-05-25,Active
174,Whirlpool Snacks Model-0174,Grocery,Snacks,Whirlpool,18641.05,27857.23,Supplier-027,2024-05-20,Active
175,Dell Footwear Model-0175,Fashion,Footwear,Dell,33673.94,39232.57,Supplier-029,2021-08-17,Active
176,LG Makeup Model-0176,Beauty,Makeup,LG,3919.36,4905.76,Supplier-004,2021-04-10,Active
177,Boat Headphones Model-0177,Electronics,Headphones,Boat,45567.62,55232.52,Supplier-012,2021-05-29,Active
178,Adidas Cricket Model-0178,Sports,Cricket,Adidas,10101.87,11810.77,Supplier-026,2023-07-23,Active
179,Prestige Footwear Model-0179,Fashion,Footwear,Prestige,41370.34,61354.94,Supplier-001,2023-09-27,Active
180,Philips Smartphones Model-0180,Electronics,Smartphones,Philips,16325.06,20525.8,Supplier-048,2020-02-25,Active
181,Apple Packaged Food Model-0181,Grocery,Packaged Food,Apple,8059.25,13272.27,Supplier-030,2024-06-17,Active
182,HP Outdoor Model-0182,Sports,Outdoor,HP,1961.08,3021.26,Supplier-030,2024-10-10,Active
183,Sony Snacks Model-0183,Grocery,Snacks,Sony,5125.08,7632.23,Supplier-032,2020-03-31,Discontinued
184,Boat Outdoor Model-0184,Sports,Outdoor,Boat,26014.15,30008.52,Supplier-029,2022-12-04,Active
185,Puma Fitness Equipment Model-0185,Sports,Fitness Equipment,Puma,42394.69,48632.58,Supplier-021,2024-11-10,Active
186,Philips Outdoor Model-0186,Sports,Outdoor,Philips,44979.38,63029.09,Supplier-035,2025-12-31,Active
187,Philips Football Model-0187,Sports,Football,Philips,8977.12,11139.84,Supplier-036,2024-02-14,Active
188,Boat Packaged Food Model-0188,Grocery,Packaged Food,Boat,30636.9,51035.63,Supplier-005,2023-10-13,Active
189,Dell Men Clothing Model-0189,Fashion,Men Clothing,Dell,18448.25,20527.13,Supplier-033,2023-10-24,Active
190,Samsung Snacks Model-0190,Grocery,Snacks,Samsung,19087.96,31464.71,Supplier-032,2025-12-31,Active
191,Philips Men Clothing Model-0191,Fashion,Men Clothing,Philips,38756.18,45798.67,Supplier-017,2024-07-11,Active
192,Boat Makeup Model-0192,Beauty,Makeup,Boat,32976.72,52336.65,Supplier-025,2023-07-20,Active
193,Samsung Washing Machines Model-0193,Home Appliances,Washing Machines,Samsung,49388.11,87985.05,Supplier-049,2023-03-22,Discontinued
194,Philips Football Model-0194,Sports,Football,Philips,9899.05,15421.35,Supplier-043,2024-04-16,Active
195,Samsung Accessories Model-0195,Fashion,Accessories,Samsung,48285.27,80598.63,Supplier-041,2023-12-17,Active
196,Puma Smartphones Model-0196,Electronics,Smartphones,Puma,27395.96,35740.62,Supplier-005,2021-08-20,Active
197,LG Men Clothing Model-0197,Fashion,Men Clothing,LG,11136.78,18177.19,Supplier-035,2022-02-13,Active
198,Prestige Snacks Model-0198,Grocery,Snacks,Prestige,14845.15,21166.03,Supplier-004,2023-01-31,Active
199,Lenovo Haircare Model-0199,Beauty,Haircare,Lenovo,45687.68,54868.54,Supplier-037,2021-10-19,Active
200,Sony Packaged Food Model-0200,Grocery,Packaged Food,Sony,22164.96,26990.4,Supplier-001,2024-01-13,Active
201,LG Football Model-0201,Sports,Football,LG,22026.13,26322.63,Supplier-003,2024-11-06,Active
202,Prestige Footwear Model-0202,Fashion,Footwear,Prestige,29137.81,32355.55,Supplier-037,2025-07-31,Active
203,Boat Laptops Model-0203,Electronics,Laptops,Boat,16250.1,20625.03,Supplier-050,2022-11-12,Active
204,Philips Fitness Equipment Model-0204,Sports,Fitness Equipment,Philips,38422.21,56156.15,Supplier-001,2024-06-29,Active
205,Nike Kitchen Appliances Model-0205,Home Appliances,Kitchen Appliances,Nike,25864.07,43935.78,Supplier-004,2023-02-13,Active
206,Boat Football Model-0206,Sports,Football,Boat,7533.34,9861.1,Supplier-029,2020-12-11,Active
207,Prestige Smart Watches Model-0207,Electronics,Smart Watches,Prestige,47373.5,83983.48,Supplier-029,2025-11-12,Active
208,Nike Smartphones Model-0208,Electronics,Smartphones,Nike,37781.02,53391.84,Supplier-001,2021-11-13,Active
209,Sony Beverages Model-0209,Grocery,Beverages,Sony,28957.02,43254.59,Supplier-032,2020-01-12,Active
210,NEXUS Fragrances Model-0210,Beauty,Fragrances,NEXUS,43095.54,56937.99,Supplier-011,2023-05-14,Active
211,Sony Footwear Model-0211,Fashion,Footwear,Sony,4454.71,7779.82,Supplier-009,2022-06-08,Active
212,Prestige Smartphones Model-0212,Electronics,Smartphones,Prestige,10818.51,14959.55,Supplier-042,2022-12-17,Active
213,LG Accessories Model-0213,Electronics,Accessories,LG,49949.74,66856.37,Supplier-050,2022-12-15,Active
214,Philips Accessories Model-0214,Electronics,Accessories,Philips,10840.63,17174.56,Supplier-033,2021-05-14,Active
215,Apple Laptops Model-0215,Electronics,Laptops,Apple,14000.35,15687.88,Supplier-030,2021-03-04,Active
216,Prestige Beverages Model-0216,Grocery,Beverages,Prestige,2191.06,2917.11,Supplier-020,2023-11-15,Active
217,Prestige Beverages Model-0217,Grocery,Beverages,Prestige,24754.16,33435.22,Supplier-039,2024-06-12,Active
218,HP Snacks Model-0218,Grocery,Snacks,HP,48001.28,62214.43,Supplier-036,2023-05-09,Active
219,Philips Makeup Model-0219,Beauty,Makeup,Philips,44015.06,53676.7,Supplier-011,2024-06-20,Discontinued
220,Whirlpool Women Clothing Model-0220,Fashion,Women Clothing,Whirlpool,16801.3,22042.27,Supplier-018,2025-03-06,Active
221,Nike Football Model-0221,Sports,Football,Nike,7020.77,9501.02,Supplier-035,2023-05-07,Active
222,Apple Fragrances Model-0222,Beauty,Fragrances,Apple,4334.88,5223.93,Supplier-023,2020-04-14,Active
223,Apple Skincare Model-0223,Beauty,Skincare,Apple,5115.99,8494.22,Supplier-018,2021-04-14,Active
224,Lenovo Smartphones Model-0224,Electronics,Smartphones,Lenovo,20531.12,29142.1,Supplier-012,2021-02-18,Active
225,Puma Haircare Model-0225,Beauty,Haircare,Puma,36716.93,42762.46,Supplier-036,2023-01-16,Active
226,LG Fitness Equipment Model-0226,Sports,Fitness Equipment,LG,2453.12,3033.14,Supplier-020,2020-10-04,Active
227,Nike Beverages Model-0227,Grocery,Beverages,Nike,12917.56,15855.11,Supplier-023,2023-05-01,Active
228,Whirlpool Accessories Model-0228,Fashion,Accessories,Whirlpool,26601.96,36535.13,Supplier-010,2024-06-01,Active
229,LG Football Model-0229,Sports,Football,LG,38372.58,63465.56,Supplier-049,2025-02-18,Active
230,Dell Air Conditioners Model-0230,Home Appliances,Air Conditioners,Dell,10512.0,15424.93,Supplier-036,2025-07-03,Active
231,Nike Headphones Model-0231,Electronics,Headphones,Nike,19526.21,21715.73,Supplier-029,2023-02-27,Active
232,Boat Cricket Model-0232,Sports,Cricket,Boat,3757.68,5776.45,Supplier-043,2024-11-22,Active
233,Lenovo Microwaves Model-0233,Home Appliances,Microwaves,Lenovo,7493.44,11531.39,Supplier-017,2021-08-15,Discontinued
234,NEXUS Headphones Model-0234,Electronics,Headphones,NEXUS,23231.25,34633.37,Supplier-005,2022-08-04,Discontinued
235,Whirlpool Football Model-0235,Sports,Football,Whirlpool,15689.04,18706.23,Supplier-038,2020-02-10,Active
